descricao,sigla,id
USINAGEM E METALURGIA SOLDA/CALDEIRARIA,DORO,15
TRUQUES PRES ALTINO,DORO,16
COMPONENTES MECANICOS,DORO,17
PANTOGRAFOS E CANOAS,DORO,18
EQUIPE OFICINA LAPA,DORO,19
EQUIPAMENTOS POTENCIA CAIXAS E COMPONENTES ELETR,DORO,96
PINTURA E FIBRA APARENCIA GERAL,DORO,141
EQUIPAMENTOS ELETROMECANICOS LABORATORIO,DORO,151
TRUQUES LAPA,DORO,152
MANUTENCAO  INDUSTRIAL ELETRICA-LAPA,DORO,153
MANUTENCAO  EQUIPAMENTOS MOVEIS,DORO,154
RODEIROS LAPA,DORO,155
MANUTENCAO  INDUSTRIAL MECANICA-LAPA,DORO,169
MANUTENCAO INDUSTRIAL MECANICA-PRES ALTINO,DORO,188
MANUTENCAO INDUSTRIAL ELETRICA-PRES ALTINO,DORO,189
MANUTENCAO INDUSTRIAL ELETRICA-BRÁS,DORO,199
EQUIPAMENTOS POTENCIA BATERIAS,DORO,211
RODEIROS PRES ALTINO,DORO,212
"EQUIPE OFICINA TRENS, LOCOMOTIVAS E VAGOES",DORO,215
MONTAGEM E TESTES DOS TRENS LOCOMOTIVAS TREM TURISTICO,DORO,216
MANUTENCAO  LOCOMOTIVAS E VAGOES,DORO,217
EQUIPAMENTOS ELETROMECANICOS CAIXAS E COMPONENTES,DORO,248
MOTORES DE TRACAO,DORO,350
LABORATORIO DE SISTEMAS ELETRONICOS,DORO,458
OFICINA PRESIDENTE ALTINO ELETRONICA,DORO,459
LABORATORIO DE TELECOMUNICACOES,DORO,460
OFICINA DE SINALIZACAO,DORO,461
EQUIPE MANUTENCAO E OPERACAO DE MAQUINAS E EQUIPAMENTOS VP,DORO,536
MANUTENCAO DE MAQUINAS DE CORRECAO GEOMETRICA,DORO,537
MANUTENCAO MECANICA DE MAQUINAS ESPECIAIS,DORO,538
MANUTENCAO ELETROELETRONICA GERAL,DORO,539
OPERACAO DE MAQUINAS ESPECIAIS PLASSER-SPENO,DORO,540
MANUTENCAO DE MAQUINAS PORTATEIS E GRUPO MOTO-GERADORES,DORO,541
MANUTENCAO DE CAMINHOES DE LINHA,DORO,542
MANUTENCAO EQUIP TERRAPL MOV DE CARGA RODOVIARIOS E RODOFERROV,DORO,543
PRODUCAO DE COMPONENTES DE VP E METALURGIA,DORO,544
DEPTO DE EFETIVO E LOGISTICA,DOSE,75
"EQUIPE TECNOLOGIA , CONTROLE E ESTRAT OPERAC",DOSE,91
CENTRAL DE MONITORAMENTO DA SEGURANÇA,DOSE,126
INSPECAO TECNICA,DOSE,137
PROCESSOS,DOSE,213
